feature,p.value_tx,FDR_tx,logFC_tx,p.value_time,FDR_time,p.value_interaction,FDR_interaction,tx,time,Mean_Ice_15,Mean_Ice_30,Mean_Ice_60,Mean_Ice_90,Mean_RT_15,Mean_RT_30,Mean_RT_60,Mean_RT_90
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,Ice,60,NA,NA,20.987679452869934,NA,NA,NA,NA,NA
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,Ice,90,NA,NA,NA,21.0316002967086,NA,NA,NA,NA
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,RT,15,NA,NA,NA,NA,21.139571607868945,NA,NA,NA
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,RT,30,NA,NA,NA,NA,NA,20.931745604867533,NA,NA
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,RT,60,NA,NA,NA,NA,NA,NA,21.02864467673099,NA
C18_151.007032987134_290.392871887466,0.9430801174233261,0.9999999999999998,-0.014701500922306718,0.6439890111583437,1,0.994083460133759,1,RT,90,NA,NA,NA,NA,NA,NA,NA,21.08807211928827
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,Ice,15,20.83096907139135,NA,NA,NA,NA,NA,NA,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,Ice,30,NA,21.394357076314574,NA,NA,NA,NA,NA,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,Ice,60,NA,NA,20.74124980930589,NA,NA,NA,NA,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,Ice,90,NA,NA,NA,21.634344008991853,NA,NA,NA,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,RT,15,NA,NA,NA,NA,21.859706232590344,NA,NA,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,RT,30,NA,NA,NA,NA,NA,22.68497894960006,NA,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,RT,60,NA,NA,NA,NA,NA,NA,20.937788097286326,NA
C18_151.007023483601_23.0823673415685,0.29452536647248506,0.9969365741869346,1.0287371611989953,0.7547943619603661,1,0.8778595420661344,1,RT,90,NA,NA,NA,NA,NA,NA,NA,21.954022087739013
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,Ice,15,18.533958360476486,NA,NA,NA,NA,NA,NA,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,Ice,30,NA,18.69911415712923,NA,NA,NA,NA,NA,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,Ice,60,NA,NA,18.82943525380884,NA,NA,NA,NA,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,Ice,90,NA,NA,NA,19.001181227227026,NA,NA,NA,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,RT,15,NA,NA,NA,NA,18.137016970649395,NA,NA,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,RT,30,NA,NA,NA,NA,NA,18.208414372635268,NA,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,RT,60,NA,NA,NA,NA,NA,NA,18.185425810502167,NA
HILIC_151.017174765442_80.104837895343,0.49214186687721884,0.9969365741869346,-0.3969413898270899,0.8691092458597999,1,0.8511698559232079,1,RT,90,NA,NA,NA,NA,NA,NA,NA,19.17687139861732
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,Ice,15,23.52999723661888,NA,NA,NA,NA,NA,NA,NA
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,Ice,30,NA,23.535406395973837,NA,NA,NA,NA,NA,NA
