feature,contrast,t.score,p.value,FDR,logFC,Rank
HILIC_124.937529483739_83.4725037240447,RT_vs_Ice,2.958340672244427,0.004756401293303233,0.7997091217909638,1.798312024349744,153
C18_124.991362735817_23.2453944563841,RT_vs_Ice,-0.005983479286736438,0.9952502642216645,0.9999999999999998,-0.0017401620875267556,154
HILIC_124.999874041256_181.239416415998,RT_vs_Ice,1.2378548673105931,0.22168464328194454,0.9969365741869346,1.489998170144679,155
C18_125.024425296902_288.308567605504,RT_vs_Ice,-0.1443592603670202,0.8858105347060674,0.9999999999999998,-0.03267414147782672,156
C18_125.024404626842_28.5725813088933,RT_vs_Ice,-0.6958384175251375,0.48982644363750993,0.9969365741869346,-0.19298105153309023,157
C18_125.035650798898_288.860161201506,RT_vs_Ice,-0.22505713265694122,0.8228733706080105,0.9999999999999998,-0.036299563161164734,158
HILIC_125.059663676111_33.4156187255832,RT_vs_Ice,0.3017597717080078,0.7641157582772915,0.9976445116039421,0.0627644679143826,159
C18_125.097176842539_292.453979128728,RT_vs_Ice,0.0696585323568929,0.944749737855354,0.9999999999999998,0.020995461537355774,160
C18_126.011633052343_25.8506908115669,RT_vs_Ice,-0.01985580226758201,0.9842392593445992,0.9999999999999998,-0.0059940222661238815,161
C18_126.019693283153_286.75677505896,RT_vs_Ice,0.54899248049881,0.585510648558363,0.9969365741869346,0.08843192998084498,162
HILIC_126.021937830173_62.3581472122722,RT_vs_Ice,1.0248908073510543,0.31046176057378005,0.9969365741869346,0.43700767457802303,163
C18_126.030928197782_286.976959021377,RT_vs_Ice,-0.569056093599679,0.5719245745122722,0.9969365741869346,-0.09084010612008091,164
HILIC_126.054941853353_201.866843349318,RT_vs_Ice,-3.543107181381955,8.813911587348356e-4,0.45567922906591,-1.8652722786677285,165
HILIC_126.055003588632_296.801279550178,RT_vs_Ice,0.18163207397298503,0.8566228246115355,0.9999999999999998,0.15160623662959008,166
C18_126.056105789903_90.243594275798,RT_vs_Ice,-0.5453553478258665,0.5879899851714874,0.9969365741869346,-0.18542230601360415,167
HILIC_126.066157058016_283.987809112933,RT_vs_Ice,0.1836308769430556,0.855062913919865,0.9999999999999998,0.05592648145219872,168
HILIC_126.10257047836_88.9366378297843,RT_vs_Ice,-1.1917445368225719,0.2391174227606979,0.9969365741869346,-0.527762201083711,169
HILIC_126.127760263608_175.385360489544,RT_vs_Ice,0.08695453434584428,0.9310630031033469,0.9999999999999998,0.012604063418689629,170
C18_126.99567111008_59.9840521296118,RT_vs_Ice,-1.3461768842222201,0.18445754602671327,0.9911398709670876,-0.22667612817215085,171
C18_127.014952703468_272.904945445851,RT_vs_Ice,1.055543021397483,0.29636804362279257,0.9969365741869346,0.6341353298891461,172
C18_127.02618248264_290.223114612372,RT_vs_Ice,-1.735423030126218,0.08896909706798484,0.9728307619644055,-0.8226501558378492,173
HILIC_127.038962169443_294.727496871105,RT_vs_Ice,0.35571834983967615,0.7235825918535859,0.9976445116039421,0.16370091620222754,174
HILIC_127.038970227662_125.668398475637,RT_vs_Ice,2.150174580797365,0.03651694541790114,0.9728307619644055,1.4837695670399096,175
C18_127.040079651833_21.0420170967364,RT_vs_Ice,-0.7867777354718793,0.43521130003989916,0.9969365741869346,-0.2567684669376727,176
HILIC_127.050225081474_284.342675647612,RT_vs_Ice,-1.276955024950275,0.2076528840368122,0.9919786918293934,-0.4524410882115478,177
