feature,contrast,F.score,p.value,FDR,Rank
C18_156.066540873768_34.9066241913461,Interaction,0.8165542354991161,0.4909615955784016,1,424
HILIC_156.076796196108_108.771330411648,Interaction,0.34597848196410896,0.7921868675612092,1,425
HILIC_156.088420532427_173.406191546193,Interaction,0.07961280494113702,0.9707706430996996,1,426
HILIC_156.101949530332_285.791037268798,Interaction,1.4143163274252721,0.2498546622639638,1,427
C18_157.005950823634_261.080569497451,Interaction,0.6052604253859374,0.6147410175508043,1,428
C18_157.0141611615_291.716314506902,Interaction,0.6598076656790155,0.5807494207786845,1,429
C18_157.02544783641_285.872374739609,Interaction,1.9328369113885773,0.13658682523271293,1,430
C18_157.02739296707_71.3978580448898,Interaction,1.6225574424366918,0.19621155027772985,1,431
HILIC_157.048344839207_64.4415457800909,Interaction,1.1450971487727757,0.3402784054403423,1,432
C18_157.050552446055_19.7690643865698,Interaction,0.11399271854177277,0.951503735925554,1,433
HILIC_157.06077173381_86.6757415267265,Interaction,0.9925579930241012,0.404179434399629,1,434
C18_157.12340357219_90.4150379081549,Interaction,0.18526360758837884,0.90591865627062,1,435
C18_158.082206661644_191.505860564007,Interaction,2.2672662868846656,0.09237860649745147,1,436
HILIC_158.128827815515_84.2177334801353,Interaction,0.28006728778092727,0.8395170954958849,1,437
HILIC_158.976156538064_76.1596712537987,Interaction,0.921406980458118,0.43751162311869063,1,438
C18_159.029863894819_20.1878376953734,Interaction,1.06089141162025,0.3743157204880717,1,439
HILIC_159.04360310501_63.8032297469191,Interaction,0.35711473997606746,0.7841994950393538,1,440
HILIC_159.064645735273_86.0277299720666,Interaction,0.5663456535391647,0.6398137669417312,1,441
C18_159.066259700305_176.195408689945,Interaction,2.078927056652154,0.11513375465418316,1,442
HILIC_159.076438140818_86.6769970031632,Interaction,0.7380071836843265,0.5344706429368623,1,443
HILIC_159.09171649965_44.2537175126269,Interaction,1.0150474276957364,0.3941226883930447,1,444
C18_159.102629908704_27.7113281596023,Interaction,0.47686583740302585,0.6998422423311778,1,445
HILIC_159.112790434699_95.3608916657564,Interaction,2.0778628470005165,0.11527715357519742,1,446
C18_159.1139294283_81.4976215788949,Interaction,0.8836611754213811,0.4561500708335461,1,447
C18_160.040448650269_92.2596956025801,Interaction,0.5132662616333983,0.6750475529343327,1,448
HILIC_160.042713530622_93.8012687984873,Interaction,1.5808199007870374,0.20597674445606381,1,449
HILIC_160.060414087905_96.1736821077074,Interaction,0.9285190039064554,0.4340746931253898,1,450
HILIC_160.060449309604_287.594840886537,Interaction,2.871815680359452,0.045717610120589114,1,451
